Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Purchase_Freq_Per_Year,Est_Tenure_Years,Total_Spend_Proxy,Promo_Reliant,Promo_Dependency_Score,Satisfaction_Flag,LoyaltyA_raw,LoyaltyB_raw,Loyalty_Tier,Value_Tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,26,0.5384615384615384,795,1,0.6,Medium,0.7216405566203181,-1.7753067758792327,Medium,Silver
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,26,0.07692307692307693,192,1,0.6,Medium,-0.10897452135619545,-1.8979223953878037,Medium,Bronze
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,52,0.4423076923076923,1752,1,0.6,Medium,2.891332850261335,-1.8008516966101848,High,Gold
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,52,0.9423076923076923,4500,1,0.6,Medium,4.690998852543781,-1.1074716283157398,High,Platinum
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,1,10.0,1568,1,0.6,Low,0.41110391853707895,0.17776694355298406,Medium,Gold
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,52,0.2692307692307692,300,1,0.6,Low,2.26837154177895,-2.127105794172646,High,Bronze
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,4,10.0,4250,1,0.6,Medium,1.835495495327845,0.8784500441698504,High,Platinum
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,52,0.36538461538461536,680,1,0.6,Medium,2.614461157602497,-1.6811510130715734,High,Silver
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,1,8.0,873,1,0.6,Low,-1.1809083142512384,-0.4937040277741982,Low,Silver
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,4,1.0,155,1,0.6,High,-1.2793110470840805,0.7296313857266842,Low,Bronze
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,26,1.0,918,1,0.6,High,1.5522556345968315,-0.25132495513692915,High,Silver
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,26,0.38461538461538464,748,1,0.6,High,0.4447688639614803,0.7062805131719633,Medium,Silver
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,26,1.4230769230769231,2736,1,0.6,High,2.3136527894086356,0.42161917657275483,High,Platinum
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,52,0.5961538461538461,1632,1,0.6,High,3.4450762355790108,0.48220609853331153,High,Gold
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,52,0.6538461538461539,1855,1,0.6,High,3.652730005073139,0.49753305097188283,High,Gold
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,12,0.6666666666666666,729,1,0.6,Low,-0.5265221282225865,-2.1616567419414165,Low,Silver
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,26,1.6923076923076923,1620,1,0.6,High,2.7981782515616014,-0.06740152587407228,High,Gold
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,4,9.0,1406,1,0.6,High,0.9356624941866222,2.7148321704185454,High,Gold
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,52,0.3269230769230769,864,1,0.6,High,2.4760253112730783,0.2705437003632709,High,Silver
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,26,1.7692307692307692,4230,1,0.6,Medium,2.9366140978910202,-1.1680585502762966,High,Platinum
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Quarterly,4,10.0,2601,1,0.6,Low,1.9047134184925545,0.31790356367635675,High,Platinum
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,4,5.5,1426,1,0.6,High,-0.03338843011931014,0.94417733507164,Medium,Gold
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,1,10.0,1221,1,0.6,Medium,0.4803218417017884,0.8784500441698504,Medium,Silver
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,52,0.7692307692307693,3608,1,0.6,High,4.068037544061395,0.10777709547890613,High,Platinum
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,52,0.3076923076923077,374,1,0.6,Low,2.4068073881083687,-2.1168878258802653,High,Bronze
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,1,10.0,375,1,0.6,Medium,-0.7656007752629816,1.4389965246633434,Low,Bronze
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,1,10.0,280,1,0.6,Medium,-0.8348186984276911,1.4389965246633434,Low,Bronze
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Quarterly,4,1.75,448,1,0.6,High,-1.071657277589952,1.209155007674859,Low,Bronze
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Quarterly,4,10.0,3948,1,0.6,High,1.2817521100101694,2.5600894856503302,High,Platinum
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,52,0.2692307692307692,720,1,0.6,High,2.26837154177895,-0.4454663526921669,High,Silver
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,12,1.3333333333333333,527,1,0.6,High,0.027221257095089157,0.678050490803946,Medium,Bronze
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,12,3.75,3634,1,0.6,High,2.034541028871663,1.320079498508548,High,Platinum
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,1,10.0,2546,1,0.6,High,0.8264114575253356,3.260772586267197,Medium,Platinum
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,4,10.0,1748,1,0.6,Medium,1.5586238026690071,1.018586664293223,High,Gold
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,4,9.5,3549,1,0.6,High,1.074098340516041,2.7075291380961235,High,Platinum
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,26,1.8461538461538463,1617,1,0.6,Medium,3.0750499442204395,-0.1666662728279214,High,Gold
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,26,1.6923076923076923,3105,1,0.6,High,2.7981782515616014,0.6332815747427941,High,Platinum
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,52,0.19230769230769232,495,1,0.6,Low,1.9914998491201121,-2.287678350880781,High,Bronze
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,4,10.0,1665,1,0.6,Medium,1.4894058795042977,1.7192697649100896,High,Gold
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,12,1.5,1140,1,0.6,High,0.165657103424508,0.02164525278739704,Medium,Silver
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,4,7.75,2432,1,0.6,High,0.5895728783630749,2.242611580792791,Medium,Platinum
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,1,10.0,1599,1,0.6,High,1.0340652270194641,2.700226105773703,High,Gold
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,1,10.0,1600,1,0.6,High,-0.6963828520982722,2.139679625280209,Low,Gold
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,26,0.7307692307692307,1380,1,0.6,Medium,1.0677301724438653,-0.883397213677088,High,Gold
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,52,0.8653846153846154,2438,1,0.6,High,4.414127159884943,0.413595256456604,High,Platinum
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,1,10.0,546,1,0.6,Low,-0.004203620451177725,0.4580401837997301,Medium,Bronze
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,4,10.0,1978,1,0.6,Low,1.5586238026690071,0.4580401837997301,High,Gold
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,52,0.6923076923076923,1998,1,0.6,High,3.7911658514025577,0.2274777790175171,High,Gold
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,12,3.1666666666666665,2145,1,0.6,Low,1.550015566718697,-1.6376254230600285,High,Gold
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,26,1.3076923076923077,1050,1,0.6,High,2.105999019914507,0.5311018918189846,High,Silver
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,26,1.5,1120,1,0.6,Medium,2.4520886357380545,-0.5389012277060966,High,Silver
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,4,1.75,472,1,0.6,High,-1.071657277589952,0.7887451473047394,Low,Bronze
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,52,0.5,540,1,0.6,Low,3.0989866197554634,-2.48620784478848,High,Bronze
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,52,0.6730769230769231,864,1,0.6,Medium,3.7219479282378485,-0.6184509258689133,High,Silver
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,26,1.3461538461538463,3384,1,0.6,High,2.1752169430792163,-0.019226620382126636,High,Platinum
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,1,10.0,1400,1,0.6,Low,1.6570265355018492,0.5981768039231035,High,Gold
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,52,0.8846153846153846,3431,1,0.6,High,4.483345083049652,0.5588408607261685,High,Platinum
